                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.1625,                 2.2872,                 1.6757,                 1.1647,                0.26562,                0.32459,                0.23735,                0.18416,                0.28022,                0.32159,                0.23574,                0.17469,                0.98954,                 1.9274,                 1.5381,                 1.1014,               0.005545,               0.005545,               0.005545
                     39,                 1.1533,                 2.2921,                 1.6684,                 1.1572,                0.27199,                0.34021,                0.23716,                0.18835,                0.25688,                0.34179,                0.23059,                0.17366,                0.95615,                  1.919,                 1.5288,                 1.0902,              0.0054212,              0.0054212,              0.0054212
                     40,                 1.1504,                 2.2867,                 1.6568,                 1.1567,                0.26064,                0.32215,                0.24543,                0.19395,                0.25302,                0.31517,                0.23835,                 0.1827,                0.95909,                  1.904,                 1.5313,                 1.0796,              0.0052975,              0.0052975,              0.0052975
                     41,                 1.1519,                 2.2877,                 1.6568,                 1.1626,                0.28558,                0.31087,                0.24766,                0.19499,                0.27327,                0.30238,                0.23952,                0.18549,                0.95762,                   1.91,                 1.5413,                  1.079,              0.0051737,              0.0051737,              0.0051737
                     42,                 1.1497,                 2.2704,                 1.6342,                 1.1592,                0.25734,                0.33586,                0.24246,                0.18969,                0.26261,                 0.3098,                0.23459,                0.17745,                0.96527,                 1.9242,                 1.5337,                 1.0903,                0.00505,                0.00505,                0.00505
                     43,                 1.1274,                 2.2576,                 1.6161,                 1.1447,                0.27678,                0.31236,                0.24917,                0.19669,                0.27326,                0.30579,                0.24264,                0.18634,                0.95105,                 1.8975,                 1.5165,                 1.0796,              0.0049263,              0.0049263,              0.0049263
                     44,                 1.1315,                 2.2417,                 1.6095,                 1.1481,                0.36082,                0.30436,                0.25281,                0.19576,                0.24921,                0.29373,                0.24298,                0.18418,                0.95355,                 1.8963,                 1.5159,                   1.08,              0.0048025,              0.0048025,              0.0048025
                     45,                 1.1527,                 2.2808,                 1.6234,                 1.1585,                0.29123,                0.32657,                0.26102,                0.20611,                0.28928,                0.31797,                0.25304,                0.19245,                0.92338,                 1.8948,                 1.4687,                 1.0666,              0.0046788,              0.0046788,              0.0046788
                     46,                 1.1399,                 2.2719,                 1.6173,                 1.1472,                0.29558,                0.33259,                0.26367,                0.20988,                0.29982,                0.31731,                0.25567,                0.19724,                 0.9224,                 1.8724,                 1.4617,                 1.0599,               0.004555,               0.004555,               0.004555
                     47,                 1.1252,                 2.2394,                 1.6117,                 1.1462,                0.25999,                0.34852,                0.25033,                0.20201,                0.25679,                0.33313,                0.24562,                0.18843,                0.94174,                 1.9205,                 1.4881,                 1.0758,              0.0044313,              0.0044313,              0.0044313
                     48,                  1.127,                 2.2448,                  1.588,                 1.1406,                 0.2934,                0.32436,                0.26292,                0.20961,                0.29832,                0.31973,                0.25724,                0.19937,                0.93207,                  1.917,                 1.4752,                 1.0667,              0.0043075,              0.0043075,              0.0043075
